title,body,sentiment,source
Politico Touts Gavin Newsom as 2028 'Frontrunner' but the Data Tells a Different Story,"California Gov. Gavin Newsom is receiving heightened attention as a leading potential Democrat contender for the 2028 presidential race, but emerging party data suggests a disconnect between media enthusiasm and measurable impact on the ground. A Politico column by senior political writer Jonathan Martin portrayed California Gov. Gavin Newsom as the Democrat Party's early frontrunner for 2028, pointing to his clashes with President Trump, his use of social media to shape political narratives, and his decision to redraw California's congressional map as factors boosting his national profile.",0.2549019607843137,Breitbart
Tom Steyer Is Running for California Governor as a Populist Billionaire,"Billionaire businessman and activist Tom Steyer, who once self-financed an unsuccessful White House campaign and spent his own money advocating for President Donald Trump's impeachment, has launched his bid for California governor as a Democrat. The 68-year-old's tremendous wealth immediately makes him a notable contender in a free-for-all that includes more than a half-dozen Democrats and two Republicans competing in an all-party June primary, with the top two vote-getters advancing to a November general election to succeed term-limited Gov. Gavin Newsom. Steyer announced his candidacy with a pledge to improve economic conditions and by framing his political record as friendly to consumers, working-class voters and the environment.",0.1607843137254903,U.S. News & World Report
Tom Steyer is running for California governor as a populist billionaire,"Billionaire businessman and activist Tom Steyer, who once self-financed an unsuccessful White House campaign and spent his own money advocating for President Donald Trump's impeachment, has launched his bid for California governor as a Democrat. The 68-year-old's tremendous wealth immediately makes him a notable contender in a free-for-all that includes more than a half-dozen Democrats and two Republicans competing in an all-party June primary, with the top two vote-getters advancing to a November general election to succeed term-limited Gov. Gavin Newsom. Steyer announced his candidacy with a pledge to improve economic conditions and by framing his political record as friendly to consumers, working-class voters and the environment.",0.1607843137254903,Washington Times
Billionaire Tom Steyer announces bid for California governor,"Billionaire hedge fund founder Tom Steyer said he's running to be the next governor of California, seeking to replace Gov. Gavin Newsom, whose second and final term ends in January 2027. The 68-year-old Democrat is no stranger to politics. He ran a long-shot campaign for president in 2020, played a role in advocating for President Trump's impeachment and spent millions to help pass California's Proposition 50.",-0.07450980392156858,Washington Times
Billionaire environmentalist Tom Steyer announces run for California governor,"The Democrat joins an already-crowded field of candidates seeking to replace termed-out Gov. Gavin Newsom in next year's election

Billionaire hedge fund founder-turned-environmental advocate Tom Steyer is running for governor of California - an announcement that comes as little to no surprise following his recent ad buys in support of Proposition 50 during the state's special election on redistricting. Speculations that Steyer, who also ran for president in 2020, may be eyeing another foray into politics began swirling immediately after he announced plans to drop $12 million on ads to support California Democrats' mid-decade redistricting effort several weeks ago. Those speculations were confirmed Wednesday, Nov.",0.03529411764705892,Daily News
"House Dem, 79, indicates he may not retire after judges strike down Texas congressional map","'The Big Weekend Show' panel discuss California Gov. Gavin Newsom's victory lap after the state passed Prop 50, which is expected to add more Democratic representation. Rep. Lloyd Doggett, D-Texas, suggested that he no longer plans to retire after federal judges ruled against a Republican-backed plan to alter Texas' congressional districts on Tuesday.",0.003921568627450966,Fox News
Can Ted Cruz Podcast His Way to the Presidency?,"And perhaps even more shocking is that his show, ""Verdict with Ted Cruz,"" is the most popular podcast by far of any sitting politician in the United States. He's not exactly Joe Rogan or a Kelce brother. But with up to two million downloads a month and syndicated across iHeart radio, the podcast puts him on solid ground in his side hustle and well ahead of potential 2028 competitors; in July, he had almost three and half times as many downloads as Gavin Newsom, who has the second most popular podcast among elected officials. At a moment when influencers increasingly have parasocial relationships with their fanbases and when the traditional media landscape is only growing more fractured, the podcast gives Cruz a much bigger platform than the average politician -- and a potential head start for a future presidential run.",0.3019607843137255,POLITICO
'Affordability' is a prime reason to vote AGAINST Gavin Newsom,"Gov. Gavin Newsom has embraced the ""affordability"" talking point in the wake of socialist Zohran Mamdani's victory in the New York mayoral race -- yet California lags the nation on that front, with inflation well above the national average. Inflation is the result of real-world policies that drive up costs -- and Golden State policies are toxic. The Bureau of Labor Statistics collects consumer price index (CPI) measurements in 23 regions, reporting the info in staggered fashion every few months.",-0.2784313725490196,New York Post
Gavin Newsom Roasts 'Piggy' Trump in Tweet Storm After Viral Bloomberg Reporter Interview,"California Gov. Gavin Newsom roasted President Donald Trump as a ""piggy"" after the president went viral Tuesday for calling a female Bloomberg jouranlist ""piggy"" while she pressed him on his relationship with Jeffrey Epstein. ""Quiet, piggy,"" Newsom tweeted from his own X account on Tuesday. The governor's post was coupled with a photo of the president looking disgruntled as he tried to remove a right-fitting suit jacket.",-0.1294117647058823,TheWrap
Trump turns up heat on fellow Republicans in push to redraw congressional maps ahead of midterms,"'The Big Weekend Show' panel discuss California Gov. Gavin Newsom's victory lap after the state passed Prop 50, which is expected to add more Democratic representation. President Donald Trump is amplifying his political targeting of Indiana Republicans who have been resisting calls from the president to move forward with congressional redistricting. Trump on Tuesday, for a third straight day, vowed to back primary challenges against state Republican lawmakers in the solidly red Midwestern state who didn't support his push to draw new maps in Indiana, which would create another GOP-leaning congressional district.",-0.2156862745098039,Fox News
